existing_block_id,linked_block_request_id,asset_id,section_id,station_code,block_type,start_time,end_time,duration_min,assigned_team,status,operational_priority,source,block_date,start_min,end_min,calculated_duration_min
EB-0001,,AST-0063,SEC-019,MKU,Engineering Block,18:42,19:27,45,Signal Team,Confirmed,High,Existing/Committed,2024-03-09,1122,1167,45
EB-0002,,AST-0049,SEC-025,LTRR,Maintenance Block,00:47,01:32,45,OHE Team,Confirmed,Normal,Existing/Committed,2026-01-22,47,92,45
EB-0003,,AST-0122,SEC-042,HBD,Engineering Block,10:08,10:38,30,Track Maintenance Team,Active,Normal,Existing/Committed,2025-09-25,608,638,30
EB-0004,,AST-0139,SEC-004,BNC,Engineering Block,08:24,10:24,120,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2025-02-21,504,624,120
EB-0005,,AST-0075,SEC-036,ARAG,Maintenance Block,03:33,04:48,75,Track Maintenance Team,Planned,Normal,Existing/Committed,2025-02-16,213,288,75
EB-0006,,AST-0189,SEC-049,KGP,Maintenance Block,13:46,14:46,60,Bridge Inspection Team,Active,High,Existing/Committed,2026-04-17,826,886,60
EB-0007,,AST-0166,SEC-003,RU,Engineering Block,20:04,22:04,120,OHE Team,Active,Normal,Existing/Committed,2024-03-05,1204,1324,120
EB-0008,,AST-0075,SEC-036,ARAG,Maintenance Block,15:50,16:35,45,Track Maintenance Team,Planned,Normal,Existing/Committed,2025-11-07,950,995,45
EB-0009,,AST-0096,SEC-045,LKO,Maintenance Block,00:51,02:21,90,Signal Team,Active,Normal,Existing/Committed,2024-06-29,51,141,90
EB-0010,,AST-0075,SEC-036,ARAG,Maintenance Block,02:19,04:19,120,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2024-03-14,139,259,120
EB-0011,,AST-0027,SEC-026,PRLI,Maintenance Block,20:46,21:31,45,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2025-05-20,1246,1291,45
EB-0012,,AST-0177,SEC-015,JEUR,Maintenance Block,13:26,14:11,45,Signal Team,Active,High,Existing/Committed,2026-08-12,806,851,45
EB-0013,,AST-0086,SEC-030,WR,Maintenance Block,00:16,02:16,120,Track Maintenance Team,Active,Normal,Existing/Committed,2025-12-15,16,136,120
