block_request_id,asset_id,section_id,station_code,maintenance_type,requested_duration_min,priority,preferred_start_time,time_flexibility,required_team,request_urgency,status,preferred_start_min,flexibility_min,earliest_start_min,latest_start_min
BR-0001,AST-0157,SEC-014,KMN,OHE Inspection,75,Medium,18:45,Fixed,Bridge Inspection Team,Normal,Pending,1125,0,1125,1125
BR-0002,AST-0086,SEC-030,WR,Track Inspection,45,High,11:15,±30 min,Track Maintenance Team,Normal,Pending,675,30,645,705
BR-0003,AST-0166,SEC-003,RU,Point Machine Maintenance,30,Low,05:15,Fixed,Bridge Inspection Team,Normal,Pending,315,0,315,315
BR-0004,AST-0027,SEC-026,PRLI,Track Inspection,75,High,07:30,±30 min,Track Maintenance Team,Normal,Pending,450,30,420,480
BR-0005,AST-0099,SEC-003,RU,Signal Maintenance,60,Critical,07:15,±30 min,Bridge Inspection Team,Normal,Pending,435,30,405,465
BR-0006,AST-0189,SEC-049,KGP,Track Renewal,120,Medium,05:00,Fixed,Bridge Inspection Team,Normal,Pending,300,0,300,300
BR-0007,AST-0090,SEC-043,HBJ,OHE Inspection,90,High,06:00,±30 min,Signal Team,Normal,Pending,360,30,330,390
BR-0008,AST-0126,SEC-041,GAR,Track Inspection,90,Medium,08:00,±15 min,Bridge Inspection Team,Normal,Pending,480,15,465,495
BR-0009,AST-0059,SEC-021,BD,Track Renewal,30,Medium,06:30,Fixed,Signal Team,Urgent,Pending,390,0,390,390
BR-0010,AST-0077,SEC-033,DLGN,Track Renewal,30,Low,13:00,±30 min,Bridge Inspection Team,Urgent,Pending,780,30,750,810
BR-0011,AST-0189,SEC-049,KGP,Track Inspection,75,Medium,20:00,±30 min,Track Maintenance Team,Normal,Pending,1200,30,1170,1230
BR-0012,AST-0197,SEC-020,AK,OHE Inspection,60,Medium,07:00,Fixed,Track Maintenance Team,Urgent,Pending,420,0,420,420
BR-0013,AST-0177,SEC-015,JEUR,Signal Maintenance,45,Medium,14:45,±15 min,Signal Team,Urgent,Pending,885,15,870,900
BR-0014,AST-0164,SEC-045,CNB,Signal Maintenance,60,High,17:00,±30 min,Track Maintenance Team,Normal,Pending,1020,30,990,1050
BR-0015,AST-0122,SEC-042,HBD,Bridge Inspection,30,High,18:30,±60 min,Track Maintenance Team,Normal,Pending,1110,60,1050,1170
BR-0016,AST-0194,SEC-027,PAU,Rail Grinding,90,Low,18:30,Fixed,OHE Team,Urgent,Pending,1110,0,1110,1110
BR-0017,AST-0121,SEC-028,CND,Track Renewal,60,High,06:45,±30 min,Track Maintenance Team,Urgent,Pending,405,30,375,435
BR-0018,AST-0166,SEC-003,RU,Track Inspection,120,Low,02:45,±15 min,Track Maintenance Team,Normal,Pending,165,15,150,180
BR-0019,AST-0163,SEC-050,RPH,Point Machine Maintenance,90,Critical,10:00,±30 min,Track Maintenance Team,Urgent,Pending,600,30,570,630
