existing_block_id,linked_block_request_id,asset_id,section_id,station_code,block_type,start_time,end_time,duration_min,assigned_team,status,operational_priority,source,block_date,start_min,end_min,calculated_duration_min,station Code,Station Name
EB-0001,,AST-0063,SEC-019,MKU,Engineering Block,18:42,19:27,45,Signal Team,Confirmed,High,Existing/Committed,2024-03-09,1122,1167,45,MKU,MALKAPUR
EB-0002,,AST-0049,SEC-025,LTRR,Maintenance Block,00:47,01:32,45,OHE Team,Confirmed,Normal,Existing/Committed,2026-01-22,47,92,45,LTRR,LATUR ROAD
EB-0003,,AST-0122,SEC-042,HBD,Engineering Block,10:08,10:38,30,Track Maintenance Team,Active,Normal,Existing/Committed,2025-09-25,608,638,30,HBD,HOSHANGABAD
EB-0004,,AST-0139,SEC-004,BNC,Engineering Block,08:24,10:24,120,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2025-02-21,504,624,120,BNC,BANGALORE CANT
EB-0005,,AST-0075,SEC-036,ARAG,Maintenance Block,03:33,04:48,75,Track Maintenance Team,Planned,Normal,Existing/Committed,2025-02-16,213,288,75,ARAG,ARAG
EB-0006,,AST-0189,SEC-049,KGP,Maintenance Block,13:46,14:46,60,Bridge Inspection Team,Active,High,Existing/Committed,2026-04-17,826,886,60,KGP,KHARAGPUR JN
EB-0007,,AST-0166,SEC-003,RU,Engineering Block,20:04,22:04,120,OHE Team,Active,Normal,Existing/Committed,2024-03-05,1204,1324,120,RU,RENIGUNTA JN
EB-0008,,AST-0075,SEC-036,ARAG,Maintenance Block,15:50,16:35,45,Track Maintenance Team,Planned,Normal,Existing/Committed,2025-11-07,950,995,45,ARAG,ARAG
EB-0009,,AST-0096,SEC-045,LKO,Maintenance Block,00:51,02:21,90,Signal Team,Active,Normal,Existing/Committed,2024-06-29,51,141,90,LKO,LUCKNOW NR
EB-0010,,AST-0075,SEC-036,ARAG,Maintenance Block,02:19,04:19,120,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2024-03-14,139,259,120,ARAG,ARAG
EB-0011,,AST-0027,SEC-026,PRLI,Maintenance Block,20:46,21:31,45,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2025-05-20,1246,1291,45,PRLI,PARLI VAIJNATH
EB-0012,,AST-0177,SEC-015,JEUR,Maintenance Block,13:26,14:11,45,Signal Team,Active,High,Existing/Committed,2026-08-12,806,851,45,JEUR,JEUR
EB-0013,,AST-0086,SEC-030,WR,Maintenance Block,00:16,02:16,120,Track Maintenance Team,Active,Normal,Existing/Committed,2025-12-15,16,136,120,WR,WARDHA JN
EB-0014,,AST-0012,SEC-015,JEUR,Planned Block,16:19,17:49,90,Bridge Inspection Team,Planned,Normal,Existing/Committed,2026-01-10,979,1069,90,JEUR,JEUR
EB-0015,,AST-0075,SEC-036,ARAG,Maintenance Block,05:23,06:53,90,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2025-11-27,323,413,90,ARAG,ARAG
EB-0016,,AST-0187,SEC-002,VSKP,Maintenance Block,08:16,08:46,30,OHE Team,Confirmed,Normal,Existing/Committed,2026-02-04,496,526,30,VSKP,VISAKHAPATNAM
EB-0017,,AST-0183,SEC-008,PC,Maintenance Block,00:08,00:53,45,Bridge Inspection Team,Active,Normal,Existing/Committed,2025-05-07,8,53,45,PC,PACHORA JN
EB-0018,,AST-0177,SEC-015,JEUR,Maintenance Block,10:35,11:20,45,Signal Team,Confirmed,High,Existing/Committed,2024-04-17,635,680,45,JEUR,JEUR
EB-0019,,AST-0070,SEC-018,BDWD,Maintenance Block,07:51,08:36,45,Signal Team,Confirmed,Normal,Existing/Committed,2026-03-29,471,516,45,BDWD,BODWAD
EB-0020,,AST-0042,SEC-020,SEG,Planned Block,19:14,20:14,60,Track Maintenance Team,Active,Normal,Existing/Committed,2025-03-05,1154,1214,60,SEG,SHEGAON
EB-0021,,AST-0114,SEC-003,JTJ,Maintenance Block,01:13,01:58,45,Signal Team,Confirmed,Normal,Existing/Committed,2025-04-24,73,118,45,JTJ,JOLARPETTAI
EB-0022,,AST-0197,SEC-020,AK,Maintenance Block,09:17,10:17,60,Track Maintenance Team,Confirmed,High,Existing/Committed,2024-12-15,557,617,60,AK,AKOLA JN
EB-0023,,AST-0113,SEC-003,JTJ,Maintenance Block,11:58,13:58,120,Signal Team,Confirmed,Normal,Existing/Committed,2024-06-10,718,838,120,JTJ,JOLARPETTAI
EB-0024,,AST-0082,SEC-007,JL,Maintenance Block,18:56,19:26,30,Track Maintenance Team,Active,Normal,Existing/Committed,2026-06-24,1136,1166,30,JL,JALGAON JN
EB-0025,,AST-0077,SEC-033,DLGN,Engineering Block,05:22,06:22,60,Bridge Inspection Team,Active,Normal,Existing/Committed,2026-01-30,322,382,60,DLGN,DHALGAON
EB-0026,,AST-0159,SEC-029,PLO,Maintenance Block,21:00,23:00,120,Bridge Inspection Team,Confirmed,High,Existing/Committed,2025-09-14,1260,1380,120,PLO,PULGAON JN
EB-0027,,AST-0059,SEC-021,BD,Maintenance Block,21:45,23:00,75,Signal Team,Confirmed,Normal,Existing/Committed,2025-01-16,1305,1380,75,BD,BADNERA JN
EB-0028,,AST-0042,SEC-020,SEG,Maintenance Block,03:40,05:40,120,Track Maintenance Team,Active,Normal,Existing/Committed,2026-03-12,220,340,120,SEG,SHEGAON
EB-0029,,AST-0177,SEC-015,JEUR,Engineering Block,17:48,19:18,90,Bridge Inspection Team,Planned,Normal,Existing/Committed,2025-06-08,1068,1158,90,JEUR,JEUR
EB-0030,,AST-0012,SEC-015,JEUR,Maintenance Block,17:18,18:48,90,Bridge Inspection Team,Active,High,Existing/Committed,2025-02-26,1038,1128,90,JEUR,JEUR
EB-0031,,AST-0194,SEC-027,PAU,Maintenance Block,12:31,13:31,60,OHE Team,Active,Normal,Existing/Committed,2025-03-05,751,811,60,PAU,PURNA JN
EB-0032,,AST-0021,SEC-021,MZR,Maintenance Block,05:59,07:14,75,OHE Team,Confirmed,Normal,Existing/Committed,2024-07-25,359,434,75,MZR,MURTAJAPUR
EB-0033,,AST-0063,SEC-019,MKU,Maintenance Block,00:53,01:38,45,Signal Team,Confirmed,High,Existing/Committed,2024-03-12,53,98,45,MKU,MALKAPUR
EB-0034,,AST-0124,SEC-022,NAVI,Planned Block,14:46,16:46,120,Track Maintenance Team,Active,Normal,Existing/Committed,2025-06-17,886,1006,120,NAVI,NEW AMRAVATI
EB-0035,,AST-0141,SEC-022,SUR,Maintenance Block,10:09,12:09,120,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2026-05-16,609,729,120,SUR,SOLAPUR JN
EB-00036,,AST-1152,SEC-276,UJN,Maintenance Block,12:51,13:51,60,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2024-02-12,771,831,60,UJN,UJJAIN JN
EB-00037,,AST-4142,SEC-335,BSP,Engineering Block,04:03,04:33,30,Signal Team,Active,High,Existing/Committed,2026-04-17,243,273,30,BSP,BILASPUR JN
EB-00038,,AST-0219,SEC-413,WFD,Planned Block,20:51,21:51,60,Track Maintenance Team,Confirmed,High,Existing/Committed,2026-03-17,1251,1311,60,WFD,WHITEFIELD
EB-00039,,AST-7115,SEC-388,TLH,Maintenance Block,11:12,12:27,75,Bridge Inspection Team,Active,Normal,Existing/Committed,2024-09-12,672,747,75,TLH,TILHAR
EB-00040,,AST-3401,SEC-115,RPR,Maintenance Block,15:20,16:20,60,OHE Team,Active,Normal,Existing/Committed,2025-09-02,920,980,60,RPR,RAGHUNATHPUR
EB-00041,,AST-3597,SEC-211,MB,Maintenance Block,22:52,23:52,60,Signal Team,Active,Normal,Existing/Committed,2024-05-24,1372,1432,60,MB,MORADABAD
EB-00042,,AST-1313,SEC-461,JER,Planned Block,16:15,17:00,45,Signal Team,Planned,Normal,Existing/Committed,2026-01-07,975,1020,45,JER,JALESWAR
EB-00043,,AST-6545,SEC-441,SPN,Maintenance Block,03:04,04:04,60,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2025-11-10,184,244,60,SPN,SHAHJEHANPUR
EB-00044,,AST-1689,SEC-351,PDG,Maintenance Block,04:42,06:12,90,OHE Team,Planned,High,Existing/Committed,2024-11-29,282,372,90,PDG,PARADGAON
EB-00045,,AST-4321,SEC-269,Y,Maintenance Block,02:07,03:07,60,Signal Team,Planned,High,Existing/Committed,2024-02-16,127,187,60,Y,YELIYUR
