asset_id,asset_type,section_id,nearest_station_code,age_years,condition_score,failure_count_24m,days_since_last_maintenance,usage_percent,criticality,asset_risk_score,maintenance_priority
AST-0001,Bridge,SEC-026,PBN,29,60.26,2,379,43,High,60.34,High
AST-0002,Signal,SEC-001,BAM,24,47.15,1,28,68,High,47.14,Medium
AST-0003,Signal,SEC-046,MAS,16,75.38,3,653,40,Medium,50.97,Medium
AST-0004,Point Machine,SEC-002,BZA,25,42.49,2,461,63,High,71.4,High
AST-0005,Signal,SEC-039,PPI,17,63.22,2,709,37,High,66.36,High
AST-0006,OHE,SEC-037,PUNE,14,76.28,4,798,45,Critical,61.73,High
AST-0007,Point Machine,SEC-021,MZR,29,37.85,0,145,100,High,58.56,Medium
AST-0008,Level Crossing,SEC-017,ANG,5,90.93,1,39,67,Medium,24.7,Low
AST-0009,Signal,SEC-044,ORAI,35,40.65,5,801,28,High,77.83,High
AST-0010,OHE,SEC-021,BD,13,77.88,2,237,34,High,45.65,Medium
AST-0011,OHE,SEC-007,CSN,32,47.2,2,802,47,Medium,65.84,High
AST-0012,Bridge,SEC-015,JEUR,11,77.65,1,289,81,Low,32.09,Low
AST-0013,Level Crossing,SEC-002,VSKP,6,76.44,0,690,43,Critical,48.79,Medium
AST-0014,Signal,SEC-016,DD,32,38.67,4,87,78,High,68.86,High
AST-0015,OHE,SEC-046,MAS,23,61.93,1,678,89,Medium,58.89,Medium
AST-0016,OHE,SEC-028,WHM,11,84.64,2,517,35,High,44.41,Medium
AST-0017,OHE,SEC-030,WR,6,82.54,0,352,86,High,43.66,Medium
AST-0018,Level Crossing,SEC-048,BHC,7,80.19,1,479,69,Critical,56.58,Medium
AST-0019,Level Crossing,SEC-021,BD,35,35.63,6,214,22,Critical,80.2,Critical
AST-0020,Bridge,SEC-017,ANG,24,56.84,4,712,73,Medium,79.34,High
AST-0021,Level Crossing,SEC-021,MZR,33,46.61,5,476,41,Medium,70.94,High
AST-0022,OHE,SEC-026,PRLI,8,82.45,1,459,80,High,52.93,Medium
AST-0023,Bridge,SEC-018,KPG,17,49.59,4,613,79,Critical,81.71,Critical
AST-0024,Signal,SEC-043,HBJ,32,29.33,4,294,66,Critical,79.07,High
AST-0025,Bridge,SEC-014,PVR,2,96.23,0,544,69,Critical,47.63,Medium
AST-0026,Level Crossing,SEC-030,NGP,7,88.79,3,98,85,Medium,42.09,Medium
AST-0027,Bridge,SEC-026,PRLI,25,60.01,0,789,73,High,61.14,High
AST-0028,OHE,SEC-049,KGP,8,85.32,0,883,66,High,41.44,Medium
AST-0029,Track,SEC-008,PC,13,61.16,1,480,81,High,49.45,Medium
AST-0030,Bridge,SEC-006,NK,1,91.34,0,566,20,Critical,34.86,Low
AST-0031,Level Crossing,SEC-011,LS,29,46.35,1,226,88,Low,43.54,Medium
AST-0032,Level Crossing,SEC-031,RKD,5,87.97,0,295,42,Low,18.15,Low
AST-0033,Point Machine,SEC-035,PNF,34,70.41,9,697,62,Critical,96.51,Critical
AST-0034,Signal,SEC-033,KVK,33,34.52,2,760,54,Medium,67.47,High
AST-0035,Track,SEC-004,DR,29,37.24,6,463,43,High,84.21,Critical
AST-0036,Point Machine,SEC-050,RPH,18,78.11,1,701,32,High,51.11,Medium
AST-0037,Point Machine,SEC-015,JEUR,17,51.14,1,618,31,Critical,62.56,High
AST-0038,OHE,SEC-038,HD,9,96.29,1,31,71,High,31.84,Low
AST-0039,Signal,SEC-027,PAU,23,66.72,6,399,69,Critical,78.27,High
AST-0040,Signal,SEC-003,RU,29,67.31,4,451,73,High,64.45,High
AST-0041,Track,SEC-045,LKO,19,69.39,1,482,91,Low,45.95,Medium
AST-0042,Bridge,SEC-020,SEG,1,90.48,0,415,75,High,31.46,Low
AST-0043,Track,SEC-003,JTJ,32,41.49,4,53,68,High,65.59,High
AST-0044,Signal,SEC-027,HNL,3,99.0,0,354,55,Medium,19.93,Low
AST-0045,Signal,SEC-030,NGP,28,63.05,3,564,54,High,72.23,High
AST-0046,Bridge,SEC-035,PNF,25,65.89,3,860,78,High,68.33,High
AST-0047,Bridge,SEC-017,ANG,34,55.73,7,463,20,Critical,80.11,Critical
AST-0048,Point Machine,SEC-002,BZA,1,83.52,0,160,53,High,35.46,Medium
AST-0049,Point Machine,SEC-025,LTRR,12,76.66,1,235,33,High,43.05,Medium
AST-0050,Bridge,SEC-019,NN,34,33.55,5,765,70,High,98.58,Critical
AST-0051,Point Machine,SEC-002,BZA,10,64.66,2,211,62,Medium,44.15,Medium
AST-0052,Signal,SEC-012,DVL,16,77.42,1,201,86,High,38.96,Medium
AST-0053,OHE,SEC-031,KOP,19,51.75,0,844,20,High,50.91,Medium
AST-0054,Track,SEC-045,LKO,34,43.17,3,113,82,Medium,53.5,Medium
AST-0055,Level Crossing,SEC-013,JM,1,95.98,0,62,33,High,19.68,Low
AST-0056,Point Machine,SEC-044,ORAI,2,96.44,0,757,37,Medium,33.29,Low
AST-0057,Track,SEC-008,BSL,25,53.07,2,543,36,Medium,50.79,Medium
AST-0058,Point Machine,SEC-034,MLB,10,71.57,1,782,59,Medium,50.36,Medium
AST-0059,Bridge,SEC-021,BD,6,74.58,0,747,52,Low,43.06,Medium
AST-0060,Point Machine,SEC-035,GNH,6,84.95,0,613,43,Critical,42.79,Medium
AST-0061,Point Machine,SEC-016,BGVN,24,67.78,3,580,76,High,65.35,High
AST-0062,Level Crossing,SEC-004,DR,26,54.34,3,565,20,High,66.87,High
AST-0063,Signal,SEC-019,MKU,11,80.77,1,267,42,High,31.08,Low
AST-0064,OHE,SEC-007,CSN,2,92.96,0,425,68,Critical,34.38,Low
AST-0065,Bridge,SEC-025,LTRR,14,73.43,1,355,91,High,48.76,Medium
AST-0066,Bridge,SEC-007,JL,30,36.18,5,622,33,Critical,85.23,Critical
AST-0067,Signal,SEC-019,NN,33,25.6,5,652,86,High,96.99,Critical
AST-0068,Point Machine,SEC-032,MRJ,15,79.4,5,202,85,High,59.61,Medium
AST-0069,Point Machine,SEC-037,PUNE,33,37.97,5,691,21,Low,78.38,High
AST-0070,Track,SEC-018,BDWD,26,52.15,5,147,81,Low,58.9,Medium
AST-0071,Track,SEC-030,NGP,12,76.4,0,57,48,Low,26.22,Low
AST-0072,Bridge,SEC-043,BINA,11,96.6,1,143,93,High,35.37,Medium
AST-0073,Track,SEC-013,JM,35,48.61,4,882,70,Medium,75.82,High
AST-0074,Track,SEC-036,ARAG,6,95.91,0,672,47,Medium,29.89,Low
AST-0075,Bridge,SEC-036,ARAG,17,60.65,0,707,68,Medium,47.44,Medium
AST-0076,Signal,SEC-047,VZM,23,56.58,4,775,97,High,85.7,Critical
AST-0077,Signal,SEC-033,DLGN,28,62.77,1,61,22,Medium,31.57,Low
